Clinic,URL,SignNow_Invite_LINKE,,Call scheduled to discuss PMA 
Well Within SOHO,https://forgottenformula.com/member-signup-clinic?clinic_id=506,https://signnow.com/s/EMJ2ergN?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D506&name_formula=Well%20Within%20Soho%20Dr.%20Forgosh%20Division%7CMember%20Name%7CEmail%201,beth forgosh,Yes
The Remedy,https://forgottenformula.com/member-signup-clinic?clinic_id=18,https://signnow.com/s/5XDbsCts?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D18&name_formula=Dr.%20Fletcher%20Division%7CMEMBERS%20NAME%7CEmail%20Address,Fletcher,Call later
Achieving Balance Wellness ,https://forgottenformula.com/member-signup-clinic?clinic_id=536,https://signnow.com/s/wyju4Eu7?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D536&name_formula=Taunya%20B%20Robbins%20Achieving%20Balance%20and%20Wellness%7CMember%20Name%7CEmail%201,Taunya Robbins,Yes
Wellness Reimagined,https://forgottenformula.com/member-signup-clinic?clinic_id=575,https://signnow.com/s/fwuK1xqT?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D575&name_formula=Wellness%20Reimagined%20Dr.%20Kincaid%20Divsion%7CMember%20Name%7CEmail%201,Julie Kincaid,Yes
Woodlands Natural Health,https://forgottenformula.com/member-signup-clinic?clinic_id=550,https://signnow.com/s/j0PLnjfB?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D550&name_formula=Michael%20Riippa%20Woodlands%20Vitality%20Division%7CMember%20Name%7CEmail%201,Mike Rippa,Already talked too 
Hidden Root,https://forgottenformula.com/member-signup-clinic?clinic_id=624,https://signnow.com/s/KlhF1m3o?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D624&name_formula=Dr.%20Trigger%20Division%7CMember%20Name%7CEmail%201,Trigger Division Maribel/Martha,Yes
The Longevity Collective,https://forgottenformula.com/member-signup-clinic?clinic_id=543,https://signnow.com/s/Ms2a84B4?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D543&name_formula=The%20Longevity%20Collective%20Harris%20Division%7CMember%20Name%7CEmail%201,Susan Harris,Yes
-Scharlene,https://forgottenformula.com/member-signup-clinic?clinic_id=1057,https://signnow.com/s/eudfQn80?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D1057&name_formula=The%20Longevity%20Collective%20Harris%20Division%7CMember%20Name%7CEmail%201,,
Sarah Sanville,https://forgottenformula.com/member-signup-clinic?clinic_id=511,https://signnow.com/s/BNNKHvYX?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D511&name_formula=Sanville%20Division%7CMember%20Name%7CEmail%201,Sarah Sanville,Yes
Amy's Holistic Healing ,https://forgottenformula.com/member-signup-clinic?clinic_id=463,https://signnow.com/s/cpcY5fAs?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D463&name_formula=Dr.%20Amy%20Morgans%20Holistic%20Healing%7CMember%20Name%7CEmail%201,Amy Morgan,Yes
Quantum Energy Integrative Holistic Wellness PMA,https://forgottenformula.com/member-signup-clinic?clinic_id=318,https://signnow.com/s/0FAIMgQY?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D318&name_formula=Miller%20and%20Moseley%20Division%20(Weatherford)%7CMember%20Name%7CEmail%201,"Rober Miller , Rajean Moseley ",Yes
Rajean ,https://forgottenformula.com/member-signup-clinic?clinic_id428,https://signnow.com/s/Sp83ku8Y?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D428&name_formula=Miller%20and%20Moseley%20Division%20(Weatherford)%7CMember%20Name%7CEmail%201,,-
o3 Zone Dallas,https://forgottenformula.com/member-signup-clinic?clinic_id=587,https://signnow.com/s/v3FODJ8a?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D587&name_formula=o3%20Zone%20Dallas%20Division%7CMember%20Name%7CEmail%201,Angelo Keyes ,Yes
Illuminating Injections ,https://forgottenformula.com/member-signup-clinic?clinic_id=507,https://signnow.com/s/2Fyzab4T?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D507&name_formula=ILLUMINATING%20injections%20by%20design%7CMember%20Name%7CEmail%201,Candace Dugan,Yes
Peaceful Warrior,https://forgottenformula.com/member-signup-clinic?clinic_id=505,https://signnow.com/s/VdvE0RwH?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D505&name_formula=Peaceful%20Warrior%20Sieg%20Tiegs%20Division%7CMember%20Name%7CEmail%201,Sieg Tiegs,Yes
Wizard Performance & Rehabilitation,https://forgottenformula.com/member-signup-clinic?clinic_id=390,https://signnow.com/s/E9eCCaYN?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D390&name_formula=289%20Sports%20Performance%20Wizard%20Houchin%20Division%7CMember%20Name%7CEmail%201,Wade Houchin,Yes
Nebraska Land Wellness Center,https://forgottenformula.com/member-signup-clinic?clinic_id=401,https://signnow.com/s/7WcUmx1x?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D401&name_formula=Dr.%20Howard%20Nebraskaland%20Wellness%20Division%7CMEMBERS%20NAME%7CEmail%20Address,Howard,Yes
Ignite Health and Wellness/ Windmill Wellness Center,https://forgottenformula.com/member-signup-clinic?clinic_id=430,https://signnow.com/s/arIb6w1b?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D430&name_formula=Dr.%20Reiter%20Division%7CMEMBERS%20NAME%7CEmail%20Address,Dr. Reiter,Yes
Fit without Fatigue,https://forgottenformula.com/member-signup-clinic?clinic_id=322,https://signnow.com/s/A40Os5EI?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D322&name_formula=Shannon%20Rene%20Division%7CMEMBERS%20NAME%7CEmail%20Address,Shannon Rene,Yes
Parker Natural Health,https://forgottenformula.com/member-signup-clinic?clinic_id=215,https://signnow.com/s/ilr0zKoc?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D215&name_formula=Dr.%20Ken%20Parker%20Division%7CMEMBERS%20NAME%7CEmail%20Address,Ken Parker,Yes
Pure Nutrition,https://forgottenformula.com/member-signup-clinic?clinic_id=597,https://signnow.com/s/5Z896uii?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D597&name_formula=Pure%20Nutrition%20Vegas%20Division%202.0%7CMEMBERS%20NAME%7CEmail%201,Ron McCormick,
Intrinsic Health Solutions,https://forgottenformula.com/member-signup-clinic?clinic_id=323,https://signnow.com/s/lWhKWRch?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D323&name_formula=Elizabeth%20Craft%20Division%7CMEMBERS%20NAME%7CEmail%20Address,Elizabeth Craft,Yes
Prime Life Chiropractic,https://forgottenformula.com/member-signup-clinic?clinic_id=335,https://signnow.com/s/naEEx64c?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D335&name_formula=Dr.%20J%20and%20G%20Fulcher%20Division%7CMEMBERS%20NAME%7CEmail%201,Fulcher,Waiting on response 
Dr. Bruggers Wellness,https://forgottenformula.com/member-signup-clinic?clinic_id=256,https://signnow.com/s/0FTEAhZi?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D256&name_formula=Dr.%20Francine%20Bruggers%20Division%7CMEMBERS%20NAME%7CEmail%20Address,Dr. Francine Bruggers,
Crunchy Chiropractic,https://forgottenformula.com/member-signup-clinic?clinic_id=274,https://signnow.com/s/8iiD13fk?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D274&name_formula=Crunchy%20Chiropractic%20Dr.%20Kristin%20Huthcheson%7CMEMBERS%20NAME%7CEmail%20Address,Kristen Hutchenson,Waiting on response 
Mott Division,https://forgottenformula.com/member-signup-clinic?clinic_id=502,https://signnow.com/s/z3cR8kCy?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D502&name_formula=Mott%20Division%7CMEMBERS%20NAME%7CEmail%20Address,Troy Mott,
Health by Choice,https://forgottenformula.com/member-signup-clinic?clinic_id=255,https://signnow.com/s/yFAigPri?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D255&name_formula=Dr.%20Kevin%20Amen%20Division%7CMEMBERS%20NAME%7CEmail%20Address,Kevin Amen,Yes
